,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset in data table (for modders),0x00 (0),0x04 (4),0x08 (8),0xC (12),0x10 (16),0x14 (20),0x18 (24),0x1C (28),0x20 (32),0x24 (36),0x25 (37),0x26 (38),0x27 (39),0x29 (41),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x30 (48),0x31 (49),0x32 (50),0x33 (51),0x35 (53),0x37 (55),0x38 (56),0x3C (60),0x40 (64),0x44 (68),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x5C (92),0x60 (96),0x64 (100),0x65 (101),0x66 (102),0x67 (103),0x68 (104),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x7C (124),0x80 (128),0x84 (132),0x88 (136),0x8C (140),0x90 (144),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA4 (164),0xA8 (168),0xBC (188),0xC0 (192),0xC4 (196),0xC8 (200),0xCC (204),0xD0 (208),0xD4 (212),0xD8 (216),0xDC (220),0xE0 (224),0xE8 (232),0xEC (236),0xF0 (240),0xF4 (244),0x110 (272),0x130 (304),0x134 (308),0x138 (312),0x13C (316),0x140 (320),0x144 (324),0x148 (328),0x14C (332),0x150 (336),0x154 (340),0x158 (344),0x15C (348),0x160 (352),0x164 (356),0x168 (360),0x16C (364),,,,Params right of here are only useful to modders,0xAC (172),0xB0 (176),0xB4 (180),0xB8 (184),0xE4 (228),0xF8 (248),0xFC (252),0x100 (256),0x104 (260),0x108 (264),0x10C (268),0x114 (276),0x118 (280),0x11C (284),0x120 (288),0x124 (292),0x128 (296),0x12C (300),Total Size
Size in data table (for modders),4,4,4,4,4,4,4,4,4,1,1,1,2,3,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,8,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0x170 (368)
,,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Drops,,,,,,,,,Skills,,,,,,,,,Resistances,,,,,,,,,,,,,,Skill Potentials,,,,,,,,,,,,,,,,,,,,Unused Skill Slots,,,,Unused Resistances,,,,,,,,,,,,,,
Name,ID,Level,HP,MP,Strength,Vitality,Magic,Agility,Luck,Analyze Type,Unknown,Level Correction Damage Applies,Unknown,Unknown,Unknown,Unknown,Unknown,Press Turns,Unknown,Unknown,Unknown,Unknown,Basic Attack Hit,Unknown,Damage Dealt Multiplier,Unknown,Unknown,Analyze Sync?,EXP,Macca,Unknown,AI?,Revive As?,Unknown,Unknown,Unknown,Unknown,Instakill Rate Multiplier,Item 1,Item 1 Rate,Item 1 Quest,Item 2,Item 2 Rate,Item 2 Quest,Item 3,Item 3 Rate,Item 3 Quest,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Innate Skill,Phys,Fire,Ice,Elec,Force,Light,Dark,Almighty,Poison,Confusion,Charm,Sleep,Seal,Mirage,Phys,Fire,Ice,Elec,Force,Light,Dark,Almighty,Ailment,Support,Heal,Recovery NA,Unknown,Unknown,Unknown,Unknown,Level 1 Not Slime,Ice Neutral Jack Frost,No Skills Not Tentacle,,Skill 9,Skill 10,Skill 11,Skill 12,Vertigo,Stray,Burn,Freeze,Shock,Laceration,Stone,Mud,Recv00,Recv01,Recv02,Recv03,Recv04,Recv05,
NOT USED:CHR_NAME_000,0,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Satan,1,99,1514,447,63,67,63,61,63,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,14804,618,23,0,0,0,10,10,10,100,,,,,,,,,,,,,,,,,,Skill_Adversary_PassivePart (690),50,Drain (1000),100,100,100,Drain (1000),Drain (1000),100,100,100,100,100,100,100,6,6,3,3,3,0,0,7,-5,2,-2,-2,0,1,180,322,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lucifer,2,99,1514,447,63,67,63,61,63,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,14804,618,19,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_DawnofDemise (710),100,100,Repel (999),Repel (999),100,125,Repel (999),100,100,Null (0),Null (0),Null (0),100,100,0,4,4,2,2,-8,3,7,0,0,1,1,0,2,118,1,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,3,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Dagda,4,80,1085,306,85,59,43,43,41,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11087,408,19,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_MagicHarp (636),100,Null (0),Null (0),Null (0),Null (0),125,100,100,100,100,100,100,100,100,6,0,0,0,0,-4,-4,3,0,0,0,0,0,4,31,314,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,5,99,1514,447,63,67,63,61,63,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,14804,618,23,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,6,99,1514,447,63,67,63,61,63,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,14804,618,23,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Khonsu,7,62,619,253,41,44,41,39,41,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,7522,249,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_DivineDismantlement (626),100,50,125,100,100,Null (0),100,100,100,100,100,100,100,100,3,4,-5,0,0,5,0,0,0,3,0,0,0,7,16,326,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Zeus,8,86,1034,428,47,50,42,73,68,0,0,1,1,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11997,470,20,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Herkeios (643),100,100,100,Null (0),125,Null (0),Null (0),100,100,100,100,100,50,100,4,0,0,6,-6,0,0,2,0,1,0,0,0,8,99,7,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
