Flag,ID,HexID,From Table
MAP_FLAG_E0185,1,1,1
MAP_FLAG_E0190,2,2,1
MAP_FLAG_E0190_npc,3,3,1
MAP_FLAG_E0195,4,4,1
MAP_FLAG_E0215,5,5,1
MAP_FLAG_E0235,6,6,1
MAP_FLAG_E0242,7,7,1
MAP_FLAG_E0251,8,8,1
MAP_FLAG_E0243,9,9,1
MAP_FLAG_E0260,10,A,1
MAP_FLAG_E0261,11,B,1
MAP_FLAG_E0120,12,C,1
MAP_FLAG_E0262,13,D,1
MAP_FLAG_E0310,14,E,1
MAP_FLAG_E0300,15,F,1
MAP_FLAG_E0325,16,10,1
MAP_FLAG_E0328,17,11,1
MAP_FLAG_E0330,18,12,1
MAP_FLAG_E0345,19,13,1
MAP_FLAG_E0346,20,14,1
MAP_FLAG_E0360_es605,21,15,1
MAP_FLAG_E0360_es609,22,16,1
MAP_FLAG_E0360_es611,23,17,1
MAP_FLAG_E0360,24,18,1
MAP_FLAG_E0361,25,19,1
MAP_FLAG_E0362,26,1A,1
MAP_FLAG_E0363,27,1B,1
MAP_FLAG_E0364,28,1C,1
MAP_FLAG_E0365,29,1D,1
MAP_FLAG_E0366,30,1E,1
MAP_FLAG_E0367,31,1F,1
MAP_FLAG_E0368,32,20,1
MAP_FLAG_E0369,33,21,1
MAP_FLAG_E0060,34,22,1
MAP_FLAG_E0420,35,23,1
MAP_FLAG_E0425,36,24,1
MAP_FLAG_E0430,37,25,1
MAP_FLAG_E0431,38,26,1
MAP_FLAG_E0435,39,27,1
MAP_FLAG_E0470,40,28,1
MAP_FLAG_E0473,41,29,1
MAP_FLAG_E0476,42,2A,1
MAP_FLAG_E0480,43,2B,1
MAP_FLAG_E0370,44,2C,1
MAP_FLAG_E0375,45,2D,1
MAP_FLAG_E0377,46,2E,1
MAP_FLAG_E0379,47,2F,1
MAP_FLAG_E0380,48,30,1
MAP_FLAG_E0385,49,31,1
MAP_FLAG_E0390,50,32,1
MAP_FLAG_E0400,51,33,1
MAP_FLAG_E0490,52,34,1
MAP_FLAG_E0510,53,35,1
MAP_FLAG_E0512,54,36,1
MAP_FLAG_E0540,55,37,1
MAP_FLAG_E0550,56,38,1
MAP_FLAG_E0560,57,39,1
MAP_FLAG_E0570,58,3A,1
